Initiative_ID,Change_Type,Outcome,ROI,Time_Taken,KPI_ID,KPI_Name,KPI_Value,Benchmark_Value,Event_ID,Success_Rate,Implementation_Time,Feedback_ID,Employee_Satisfaction,Engagement_Level
1,Technology Change,Unsuccessful,0.673421134335433,8,1444,Employee Engagement,48.49642814513668,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,Technology Change,Unsuccessful,0.673421134335433,8,687,Change Adoption Rate,40.88301154098498,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,Process Change,Successful,1.1132138939602307,18,1570,Employee Engagement,93.90232675391749,NULL,NULL,NULL,NULL,111,3,0.042764071456727226
4,Process Change,Successful,1.1132138939602307,18,933,Employee Engagement,44.76349809484626,NULL,NULL,NULL,NULL,111,3,0.042764071456727226
6,Process Change,Successful,0.06298107491804505,21,1174,Change Adoption Rate,59.79270900327657,86.51558792952596,1,0.6572840460604639,2,1241,4,0.03263757364898323
6,Process Change,Successful,0.06298107491804505,21,1174,Change Adoption Rate,59.79270900327657,86.51558792952596,554,0.5324408570675006,11,1241,4,0.03263757364898323
6,Process Change,Successful,0.06298107491804505,21,1174,Change Adoption Rate,59.79270900327657,86.51558792952596,742,0.6751832129369919,10,1241,4,0.03263757364898323
6,Process Change,Successful,0.06298107491804505,21,1174,Change Adoption Rate,59.79270900327657,91.64080589301216,1,0.6572840460604639,2,1241,4,0.03263757364898323
6,Process Change,Successful,0.06298107491804505,21,1174,Change Adoption Rate,59.79270900327657,91.64080589301216,554,0.5324408570675006,11,1241,4,0.03263757364898323
6,Process Change,Successful,0.06298107491804505,21,1174,Change Adoption Rate,59.79270900327657,91.64080589301216,742,0.6751832129369919,10,1241,4,0.03263757364898323
9,Process Change,Partially Successful,1.9168508484141453,21,1348,Employee Engagement,67.36690938647591,NULL,859,0.6395605600653975,11,NULL,NULL,NULL
9,Process Change,Partially Successful,1.9168508484141453,21,605,Change Adoption Rate,57.25055331237603,62.77411086602987,859,0.6395605600653975,11,NULL,NULL,NULL
